White,25.63,Female
White,51.38553333,Female
AI/AN,96.95,Male
White,80.08,Female
White,84.6476,Female
Black,75.60306667,Female
Black,90.34,Female
Black,47.6674,Female
Black,21.17,Female
Black,94.28,Female
Black,96.04,Female
White,78.04,Female
Black,94.04,Male
White,97.39,Female
Black,98.27,Male
Black,67.8488,Male
Black,85.44,Female
Black,86.4688,Female
Black,57.0984,Female
Black,92.81,Female
Black,52.4908,Female
White,90.45,Male
White,78.878,Female
White,30.76,Male
White,60.84,Female
White,62.3148,Male
White,73.86,Female
Black,73.4754,Female
Asian,0.33,Female
White,38.82702222,Male
Black,82.54574286,Female
Black,69.85969333,Male
Other,54.74026667,Male
Black,52.5303,Male
Black,71.65,Female
Black,83.90086667,Female
White,81.3,Female
Black,60,Female
Other,98.04,Female
Black,41.4646,Male
Black,38.08,Female
Black,68.85,Female
Black,99.75,Female
Black,41.94,Male
White,80.5892,Female
Black,97.12,Female
White,59.504,Male
White,59.21,Female
White,76.3388,Female
White,68.57,Male
NH/OPI,93.88,Female
Black,94.42,Male
Black,58.4852,Male
White,77.8,Female
White,87.45633333,Male
Asian,10.59,Male
White,75.68,Female
White,54.82,Female
White,68.47,Female
Other,83.07,Female
Asian,49.0717,Male
White,66.78,Male
White,74.972,Female
White,34.16,Female
White,82.77,Female
White,61.5114,Female
White,97.5,Female
White,82.19,Female
White,70.2896,Male
White,87.88,Female
White,30.3678,Female
White,99.29,Female
Black,65.9384,Female
White,73.831,Female
White,76.85664,Male
AI/AN,70.84,Female
White,86.2062,Male
Asian,63.76,Female
White,12.1,Male
White,84.5,Female
White,75.68,Female
AI/AN,92.17,Female
White,67.097,Female
White,77.81,Female
White,91.66,Female
White,97.15,Female
Black,16.74,Male
Asian,63.5658,Male
White,56.03,Female
Other,92.1,Female
White,65.44,Female
White,87.6,Female
White,77.92,Female
White,50.14,Female
White,67.33028571,Female
White,35.76,Female
White,70.99,Female
White,79.2784,Male
White,80.4258,Female
White,40.95,Female
Black,99.53,Female
White,14.39,Female
Asian,84.63138,Female
White,14.88,Male
White,67.7566,Female
White,88.2719,Male
White,75.9724,Male
Black,41.98,Female
Other,53.306,Female
Black,67.3156,Female
White,45.37,Female
White,75.39,Female
White,78.513,Female
White,16.74,Male
Asian,30.3,Female
White,15.3,Female
Black,95.57,Female
White,73.46,Female
White,21.96,Female
Black,85.31546667,Female
White,75.57,Female
White,70.8442,Male
White,50.0334,Female
White,93.56,Male
AI/AN,78.69,Male
White,76.81,Female
Asian,65.07533333,Female
White,89.8198,Female
White,87.2576,Female
White,71.25,Female
White,57.02,Female
Black,24.58,Male
NH/OPI,93.29,Female
White,70.9826,Male
Black,73.24531111,Male
Other,60.46826667,Female
White,92.23,Male
White,96.88,Female
White,58.06,Female
White,94.67,Female
Black,81.6836,Female
White,70.4425,Male
NH/OPI,92.29,Female
White,23.82,Female
White,44.3654,Female
White,65.2824,Male
Black,68.30045,Male
White,81.6638,Male
Black,19.38,Male
Black,73.54,Male
AI/AN,93.29,Female
White,82.48,Female
Black,36.28327857,Male
White,53.6464,Female
AI/AN,68.89,Male
White,77.87,Female
White,95.51,Male
Black,6.92,Female
White,99.2,Male
AIAN/White,95.98,Male
Black,71.41144,Female
Black,82.54,Male
White,92.99,Male
White,78.57,Male
